"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Wicker Patio Chairs","Default Category/Products","214","Yes","wicker-patio-chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Patio Furniture Sale","Default Category/Products","213","Yes","wicker-patio-furniture-sale","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outside Furniture","Default Category/Products","212","Yes","wicker-outside-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outdoor Seating","Default Category/Products","211","Yes","wicker-outdoor-seating","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outdoor Patio Furniture","Default Category/Products","210","Yes","wicker-outdoor-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outdoor Living","Default Category/Products","209","Yes","wicker-outdoor-living","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outdoor Furniture Retailers","Default Category/Products","208","Yes","wicker-outdoor-furniture-retailers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Seating","Default Category/Products","220","Yes","wicker-seating","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Sectionals","Default Category/Products","221","Yes","wicker-sectionals","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Sleepers","Default Category/Products","222","Yes","wicker-sleepers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Woven Wicker Furniture","Default Category/Products","234","Yes","woven-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Woven Wicker","Default Category/Products","233","Yes","woven-wicker","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Woven Vinyl","Default Category/Products","232","Yes","woven-vinyl","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Woven Rattan","Default Category/Products","231","Yes","woven-rattan","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Woven Furniture","Default Category/Products","230","Yes","woven-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Wholesalers","Default Category/Products","229","Yes","wicker-wholesalers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Two Seaters","Default Category/Products","228","Yes","wicker-two-seaters","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Tables and Bases","Default Category/Products","227","Yes","wicker-tables-and-bases","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Swivel Seating","Default Category/Products","226","Yes","wicker-swivel-seating","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Sunroom Furniture","Default Category/Products","225","Yes","wicker-sunroom-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
